concept,mean_abs_shap
spectral_centroid_mean,0.029871177320335417
spectral_rolloff_mean,0.025698429238885843
spectral_bandwidth_mean,0.024670138869264557
mfcc_2_mean,0.01951710574189475
mfcc_1_mean,0.017521242538498894
pitch_proxy_std,0.013625238569859715
mfcc_3_mean,0.012672486836110216
pitch_proxy_mean,0.01162369127098017
zero_crossing_rate_mean,0.011551310468328137
mfcc_2_std,0.011388427403058992
mfcc_4_mean,0.010758443366909272
duration,0.009043227478823863
energy_mean,0.008786420124793233
mfcc_5_mean,0.007552141163783773
mfcc_6_mean,0.007529601246134989
mfcc_4_std,0.006892706628222559
mfcc_12_std,0.006741443688038829
energy_std,0.0065671788846198755
mfcc_5_std,0.006421826333286432
pause_ratio,0.006309155073813396
spectral_flatness_mean,0.005920585815463602
mfcc_3_std,0.005914150969199497
mfcc_13_std,0.005545378164276629
mfcc_13_mean,0.0044965593931526465
voiced_ratio_proxy,0.0044611858088599654
mfcc_11_mean,0.00417832767918898
mfcc_8_mean,0.004086833589429022
mfcc_1_std,0.0038606040545747463
mfcc_9_mean,0.003837860360762156
mfcc_7_std,0.0037537892729399757
mfcc_8_std,0.003500885930511013
mfcc_12_mean,0.0034866332382747353
mfcc_7_mean,0.003482587711270288
mfcc_10_mean,0.0032155885452902094
mfcc_11_std,0.003176121741069923
onset_rate_proxy,0.002978057757986668
mfcc_9_std,0.002672795757710265
mfcc_10_std,0.002159899211488335
mfcc_6_std,0.0020522527256968924
